Timestamp,PPG
186481.193843,42870.0,83608.0
186481.1938507,42884.0,83880.0
186481.2909504,42907.0,84060.0
186481.291223,42872.0,83820.0
186481.2912326,42866.0,83756.0
186481.2912405,42863.0,83624.0
186481.2912481,42883.0,83820.0
186481.2912556,42889.0,83984.0
186481.2912631,42872.0,83764.0
186481.2912706,42880.0,83740.0
186481.2912779,42870.0,83608.0
186481.2912854,42879.0,83760.0
186481.3872137,42885.0,84012.0
186481.3872361,42856.0,83604.0
186481.3872541,42870.0,83748.0
186481.3872807,42845.0,83612.0
186481.3872927,42859.0,83716.0
186481.3873022,42888.0,84052.0
186481.3873113,42858.0,83604.0
186481.3873225,42871.0,83744.0
186481.3873362,42855.0,83600.0
186481.3873515,42871.0,83668.0
186481.5078925,42885.0,84012.0
186481.5079077,42839.0,83588.0
186481.5079179,42870.0,83748.0
186481.5079279,42857.0,83596.0
186481.5079386,42859.0,83716.0
186481.5079491,42888.0,84052.0
186481.5079592,42837.0,83600.0
186481.5079699,42871.0,83744.0
186481.5079814,42866.0,83604.0
186481.5079934,42871.0,83668.0
186481.6062491,42907.0,84059.0
186481.6062726,42865.0,83627.0
186481.6063137,42866.0,83755.0
186481.606331,42854.0,83631.0
186481.6063429,42867.0,83643.0
186481.6063534,42889.0,83983.0
186481.6063638,42847.0,83635.0
186481.6063737,42880.0,83739.0
186481.6063839,42889.0,83651.0
186481.606394,42879.0,83759.0
186481.7113984,42907.0,84060.0
186481.7114108,42866.0,83684.0
186481.7114186,42866.0,83756.0
186481.7114261,42893.0,83696.0
186481.7114341,42867.0,83644.0
186481.7114415,42889.0,83984.0
186481.7114488,42858.0,83700.0
186481.7114562,42880.0,83740.0
186481.7114634,42899.0,83704.0
186481.7114716,42879.0,83760.0
186481.8048215,42885.0,84012.0
186481.8048346,42879.0,83804.0
186481.8048429,42870.0,83748.0
186481.8048507,42894.0,83820.0
186481.8048591,42859.0,83716.0
186481.8048673,42888.0,84052.0
186481.8048769,42871.0,83820.0
186481.8048854,42871.0,83744.0
186481.8048941,42888.0,83836.0
186481.8049031,42871.0,83668.0
186481.9064016,42885.0,84012.0
186481.9064234,42893.0,83908.0
186481.906478,42870.0,83748.0
186481.9064953,42908.0,83908.0
186481.9065103,42859.0,83716.0
186481.9065237,42888.0,84052.0
186481.9065364,42888.0,83900.0
186481.9065503,42871.0,83744.0
186481.9065637,42892.0,83920.0
186481.9065782,42871.0,83668.0
186482.0104045,42907.0,84060.0
186482.0104181,42876.0,83696.0
186482.0104264,42866.0,83756.0
186482.0104345,42849.0,83676.0
186482.0104433,42867.0,83644.0
186482.0104513,42889.0,83984.0
186482.0104593,42853.0,83700.0
186482.0104673,42880.0,83740.0
186482.0104753,42832.0,83664.0
186482.0104831,42879.0,83760.0
186482.1144754,42907.0,84060.0
186482.1144938,42860.0,83632.0
186482.1145093,42866.0,83756.0
186482.1145238,42838.0,83624.0
186482.1145331,42867.0,83644.0
186482.1145405,42889.0,83984.0
186482.1145478,42852.0,83596.0
186482.1145554,42880.0,83740.0
186482.1146472,42842.0,83628.0
186482.1146619,42879.0,83760.0
186482.2365517,42885.0,84015.0
186482.2365755,42870.0,83639.0
186482.2365942,42870.0,83747.0
186482.2366093,42803.0,83639.0
186482.2366231,42859.0,83715.0
186482.2366326,42888.0,84051.0
186482.2366415,42862.0,83647.0
186482.2366503,42871.0,83743.0
186482.2366588,42816.0,83631.0
186482.2366674,42871.0,83667.0
186482.3242543,42885.0,84013.0
186482.3242682,42864.0,83661.0
186482.3242766,42870.0,83749.0
186482.3242845,42832.0,83685.0
186482.3243231,42859.0,83717.0
186482.3243411,42888.0,84053.0
186482.3244127,42850.0,83681.0
186482.3244229,42871.0,83741.0
186482.3244532,42830.0,83693.0
186482.3244777,42871.0,83665.0
186482.422297,42907.0,84060.0
186482.4223086,42876.0,83780.0
186482.4223162,42866.0,83756.0
186482.4223233,42848.0,83792.0
186482.4223309,42867.0,83644.0
186482.4223475,42889.0,83984.0
186482.4223715,42862.0,83808.0
186482.4223912,42880.0,83740.0
186482.4224139,42870.0,83796.0
186482.4224337,42879.0,83760.0
186482.5235956,42907.0,84060.0
186482.5236129,42867.0,83868.0
186482.5236195,42866.0,83756.0
186482.5236259,42863.0,83872.0
186482.5236773,42867.0,83644.0
186482.5236848,42889.0,83984.0
186482.5236922,42879.0,83896.0
186482.5236994,42880.0,83740.0
186482.5237068,42878.0,83900.0
186482.5237143,42879.0,83760.0
186482.6214482,42885.0,84012.0
186482.6214604,42873.0,83928.0
186482.6214678,42870.0,83748.0
186482.6214749,42886.0,83896.0
186482.6214829,42859.0,83716.0
186482.6214992,42888.0,84052.0
186482.6215222,42868.0,83856.0
186482.6215424,42871.0,83744.0
186482.6215644,42864.0,83820.0
186482.6215839,42871.0,83668.0
186482.7232219,42885.0,84012.0
186482.7232368,42873.0,83728.0
186482.7232466,42870.0,83748.0
186482.7233357,42854.0,83708.0
186482.7233866,42859.0,83716.0
186482.7234246,42888.0,84052.0
186482.7234399,42856.0,83728.0
186482.7234884,42871.0,83744.0
186482.7235203,42863.0,83708.0
186482.7235586,42871.0,83668.0
186482.8475921,42907.0,84060.0
186482.8476163,42844.0,83648.0
186482.8476362,42866.0,83756.0
186482.847653,42860.0,83664.0
186482.8476662,42867.0,83644.0
186482.8476771,42889.0,83984.0
186482.8476964,42851.0,83680.0
186482.8477191,42880.0,83740.0
186482.8477371,42868.0,83644.0
186482.8477603,42879.0,83760.0
186482.9420192,42907.0,84060.0
186482.942035,42865.0,83692.0
186482.9420638,42866.0,83756.0
186482.942084,42860.0,83700.0
186482.9420949,42867.0,83644.0
186482.9421053,42889.0,83984.0
186482.9421141,42850.0,83696.0
186482.9421221,42880.0,83740.0
186482.9421823,42867.0,83720.0
186482.9421944,42879.0,83760.0
186483.038984,42885.0,84012.0
186483.0389949,42878.0,83768.0
186483.0390012,42870.0,83748.0
186483.0390073,42861.0,83812.0
186483.0390139,42859.0,83716.0
186483.0390253,42888.0,84052.0
186483.0390449,42872.0,83784.0
186483.039068,42871.0,83744.0
186483.0390865,42860.0,83828.0
186483.03911,42871.0,83668.0
186483.16047,42885.0,84012.0
186483.1604926,42866.0,83844.0
186483.1605295,42870.0,83748.0
186483.160574,42863.0,83888.0
186483.1605828,42859.0,83716.0
186483.1605929,42888.0,84052.0
186483.1606101,42882.0,83868.0
186483.1606274,42871.0,83744.0
186483.1609455,42866.0,83912.0
186483.1609798,42871.0,83668.0
186483.2568796,42907.0,84060.0
186483.2568959,42887.0,83984.0
186483.2569069,42866.0,83756.0
186483.2569177,42893.0,84048.0
186483.2569287,42867.0,83644.0
186483.2569395,42889.0,83984.0
186483.2569503,42892.0,84008.0
186483.2569623,42880.0,83740.0
186483.2569733,42892.0,84036.0
186483.2569841,42879.0,83760.0
186483.3079939,42907.0,84060.0
186483.3080179,42896.0,83980.0
186483.308039,42866.0,83756.0
186483.3080553,42883.0,83952.0
186483.3080734,42867.0,83644.0
186483.3080957,42889.0,83984.0
186483.308112,42872.0,83916.0
186483.3081262,42880.0,83740.0
186483.308142,42880.0,83888.0
186483.3081573,42879.0,83760.0
186483.3985273,42885.0,84012.0
186483.3985408,42885.0,83756.0
186483.3985491,42870.0,83748.0
186483.3985571,42867.0,83728.0
186483.3985659,42859.0,83716.0
186483.3985772,42888.0,84052.0
186483.3986063,42873.0,83752.0
186483.3986182,42871.0,83744.0
186483.3986263,42863.0,83736.0
186483.3986377,42871.0,83668.0
186483.5064764,42885.0,84012.0
186483.5064873,42880.0,83772.0
186483.5064938,42870.0,83748.0
186483.5064999,42882.0,83704.0
186483.5065068,42859.0,83716.0
186483.50652,42888.0,84052.0
